id,id_client,id_product,qtd,total,sale_date,product_name,price,category,client_name,city,state,brl_cost,cost_total,profit,margin_pct,year,month,weekday
24,45,128,12,55809.0,2023-05-09,Boia de Arqueamento Bruce Marlin Hydra,4650.72,ancoragem,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,4265.45,51185.4,4623.6,8.28,2023,5,1
25,8,3,2,18048.0,2024-02-04,Radar Furuno Pulse Leviathan,9024.19,eletronicos,Luiz Alves Pimentel,Aracaju,SE,8768.85,17537.7,510.3,2.83,2024,2,6
26,19,147,14,40299.95,2024-05-10,Corrente Danforth Force Leviathan Impulse,3030.08,ancoragem,Renata Lima Gomes Coelho Mendonça,Maceió,AL,2960.95,41453.3,-1153.35,-2.86,2024,5,4
27,23,97,4,541340.0,2023-04-15,Motor de Popa Tohatsu Evo 168HP,135335.07,propulsao,Bruna Mendonça Rodrigues,Santos,SP,128039.4,512157.6,29182.4,5.39,2023,4,5
28,41,60,12,1239762.35,2023-03-20,Motor de Popa Honda Velocity Drift 258HP,108751.09,propulsao,Pedro Ribeiro Costa Santos Correia,Aratu (Candeias),BA,98931.2,1187174.4,52587.95,4.24,2023,3,0
29,26,109,7,4359.0,2024-03-24,Cabo de Nylon Danforth Evo Aqua Mako,622.7,ancoragem,Luiz Borges Gomes Araújo,Manaus,AM,616.2,4313.4,45.6,1.05,2024,3,6
30,38,35,15,165083.0,2023-07-18,Radar Furuno Swift,11005.53,eletronicos,Mateus Antunes,Fortaleza do Tabocão,TO,10534.25,158013.75,7069.25,4.28,2023,7,1
31,41,91,13,1665842.1,2023-03-20,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,propulsao,Pedro Ribeiro Costa Santos Correia,Aratu (Candeias),BA,138358.85,1798665.05,-132822.95,-7.97,2023,3,0
32,43,40,11,156024.0,2023-11-02,Sonda Furuno Maré Tidal,14184.04,eletronicos,Jéssica Farias Cunha,Itaqui (São Luís),MA,14336.3,157699.3,-1675.3,-1.07,2023,11,3
33,4,92,8,710833.0,2023-07-26,Motor Elétrico Yamaha Nautic Kraken 133HP,88854.1,propulsao,Thiago Moreira,Rio Branco,AC,81198.7,649589.6,61243.4,8.62,2023,7,2
34,28,73,3,429480.0,2023-11-05,Motor de Popa Torqeedo Core Hydra Flux 162HP,143159.93,propulsao,Bianca Rodrigues,Antonina,PR,128249.65,384748.95,44731.05,10.42,2023,11,6
35,33,35,10,110055.0,2024-04-02,Radar Furuno Swift,11005.53,eletronicos,Diego Costa Guedes Cunha,Rio Grande,RS,10534.25,105342.5,4712.5,4.28,2024,4,1
36,18,136,7,13123.3,2023-11-24,Cabo de Nylon Bruce Flux Hydro,1973.5,ancoragem,Adriana Guedes Borges Alves Rocha,Santarém,PA,1953.1,13671.7,-548.4,-4.18,2023,11,4
37,24,32,13,162532.0,2023-08-29,Sonda AIS Impulse Oceanic Zenith,12502.46,eletronicos,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,11444.95,148784.35,13747.65,8.46,2023,8,1
38,38,87,9,601739.0,2024-04-30,Motor Elétrico Volvo Boost 225HP,66859.9,propulcao,Mateus Antunes,Fortaleza do Tabocão,TO,67988.5,611896.5,-10157.5,-1.69,2024,4,1
39,13,71,8,989322.4,2024-10-16,Motor Elétrico Torqeedo Pulse 300HP,130174.06,propulsao,Carlos Guimarães Martins,Santarém,PA,115500.85,924006.8,65315.6,6.6,2024,10,2
40,27,116,5,12878.0,2023-09-09,Cabo de Nylon Delta Velocity Oceanic Abyss,2575.52,ancoragem,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,2511.2,12556.0,322.0,2.5,2023,9,5
41,46,34,3,14753.0,2024-06-04,Transponder AIS Helix Torque,4917.53,eletronicos,Ana Silva Costa Farias Coelho,Macapá,AP,4758.3,14274.9,478.1,3.24,2024,6,1
42,1,6,12,141843.0,2023-08-12,Transponder AIS Vector,11820.21,eletronicos,Femininos Oliveira Antunes,Aratu (Candeias),BA,9756.65,117079.8,24763.2,17.46,2023,8,5
43,11,70,14,480976.0,2023-08-10,Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,propulsao,Victor Torres Monteiro,Porto Seguro,BA,27743.15,388404.1,92571.9,19.25,2023,8,3
44,39,81,8,928328.6,2024-12-03,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,122148.49,propulcao,Renata Oliveira Siqueira,Suape (Ipojuca),PE,118427.5,947420.0,-19091.4,-2.06,2024,12,1
45,22,149,11,12160.0,2024-09-12,Cabo de Nylon Bruce Core,1163.62,ancoragem,Daniela Borges Vieira Farias Mendonça,Aracaju,SE,1129.7,12426.7,-266.7,-2.19,2024,9,3
46,25,120,5,15622.0,2023-12-15,Boia de Arqueamento Danforth Flux Tidal,3124.49,ancoragem,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,3177.25,15886.25,-264.25,-1.69,2023,12,4
47,4,60,15,1631266.0,2024-02-04,Motor de Popa Honda Velocity Drift 258HP,108751.09,propulsao,Thiago Moreira,Rio Branco,AC,98931.2,1483968.0,147298.0,9.03,2024,2,6
48,13,54,15,1823022.0,2024-05-30,Motor de Popa Yamaha Evo Dash 155HP,121534.82,propulsao,Carlos Guimarães Martins,Santarém,PA,115959.5,1739392.5,83629.5,4.59,2024,5,3
49,14,74,7,575614.5,2024-08-29,Motor de Popa Honda Torque 228HP,86558.56,propulcao,Gabriela Silva Vieira Amaral,Itacoatiara,AM,85801.8,600612.6,-24998.1,-4.34,2024,8,3
50,8,19,15,246485.0,2023-12-26,Sonda Lowrance Tidal Storm Vox,16432.35,eletronicos,Luiz Alves Pimentel,Aracaju,SE,16790.65,251859.75,-5374.75,-2.18,2023,12,1
51,2,52,4,54816.0,2024-08-28,Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,propulcao,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,12133.3,48533.2,6282.8,11.46,2024,8,2
52,45,106,13,57003.0,2024-03-16,Âncora Danforth Nitro Titan Vox,4384.87,ancoragem,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,4591.85,59694.05,-2691.05,-4.72,2024,3,5
53,2,25,12,145518.0,2024-03-10,Rádio Lowrance Nitro Thrust Barracuda,12126.46,eletronicos,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,10699.95,128399.4,17118.6,11.76,2024,3,6
54,27,144,4,8857.0,2024-09-30,Boia de Arqueamento Bruce Barracuda,2214.14,ancoragem,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,2012.7,8050.8,806.2,9.1,2024,9,0
55,35,54,3,346373.8,2024-11-24,Motor de Popa Yamaha Evo Dash 155HP,121534.82,propulsao,Priscila Martins,João Pessoa,PB,115959.5,347878.5,-1504.7,-0.43,2024,11,6
56,1,125,13,44227.0,2024-03-11,Cabo de Nylon Danforth Kinetic,3402.07,ancoragem,Femininos Oliveira Antunes,Aratu (Candeias),BA,3231.35,42007.55,2219.45,5.02,2024,3,0
57,40,110,11,27451.0,2023-07-17,Corrente Bruce Current,2495.51,ancoragem,Lucas Pacheco,Corumbá,MS,2219.25,24411.75,3039.25,11.07,2023,7,0
58,46,45,2,19807.0,2024-08-22,GPS Furuno Current,9903.71,eletronicos,Ana Silva Costa Farias Coelho,Macapá,AP,9406.65,18813.3,993.7,5.02,2024,8,3
60,11,49,14,176415.0,2024-03-20,Sonda Furuno Swift,13264.25,eletronicos,Victor Torres Monteiro,Porto Seguro,BA,11763.05,164682.7,11732.3,6.65,2024,3,2
61,28,56,8,326714.5,2024-09-05,Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,propulsao,Bianca Rodrigues,Antonina,PR,40437.95,323503.6,3210.9,0.98,2024,9,3
62,10,113,15,62627.8,2024-05-18,Âncora Delta Mako Ultra,4394.96,ancoragem,Débora Paiva,Santarém,PA,3887.85,58317.75,4310.05,6.88,2024,5,5
63,43,42,15,85398.35,2024-01-27,Transponder Lowrance Axis,5992.84,eletronicos,Jéssica Farias Cunha,Itaqui (São Luís),MA,6317.85,94767.75,-9369.4,-10.97,2024,1,5
64,24,106,13,57003.0,2023-10-17,Âncora Danforth Nitro Titan Vox,4384.87,ancoragem,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,4591.85,59694.05,-2691.05,-4.72,2023,10,1
65,21,4,7,22489.35,2024-10-14,Rádio AIS Hydro Tidal Zen,3381.88,eletronicos,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,3395.65,23769.55,-1280.2,-5.69,2024,10,0
66,33,114,9,7194.0,2024-10-12,Boia de Arqueamento Danforth Tidal Zen Swift,799.29,ancoragem,Diego Costa Guedes Cunha,Rio Grande,RS,762.3,6860.7,333.3,4.63,2024,10,5
67,18,85,3,109949.2,2024-02-04,Motor de Popa Parsun Impulse 162HP,38578.7,propulsao,Adriana Guedes Borges Alves Rocha,Santarém,PA,39426.35,118279.05,-8329.85,-7.58,2024,2,6
68,43,139,9,12824.0,2024-01-16,Boia de Arqueamento Danforth Torque,1424.88,ancoragem,Jéssica Farias Cunha,Itaqui (São Luís),MA,1234.45,11110.05,1713.95,13.37,2024,1,1
69,34,139,8,11399.0,2023-09-18,Boia de Arqueamento Danforth Torque,1424.88,ancoragem,Victor Vieira Nunes Cunha,Fortaleza,CE,1234.45,9875.6,1523.4,13.36,2023,9,0
70,4,98,13,980110.25,2023-08-13,Motor Diesel Parsun Velocity Abyss Orca 235HP,79361.13,propulsao,Thiago Moreira,Rio Branco,AC,64334.0,836342.0,143768.25,14.67,2023,8,6
71,43,70,5,163188.15,2023-09-09,Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,propulsao,Jéssica Farias Cunha,Itaqui (São Luís),MA,27743.15,138715.75,24472.4,15.0,2023,9,5
72,16,48,2,29473.0,2024-08-10,GPS Furuno Magnum Drift,14736.35,eletronicos,Renata Pacheco Cardoso,Fortaleza,CE,13029.95,26059.9,3413.1,11.58,2024,8,5
73,24,10,3,91294.05,2024-12-20,Piloto Automático Simrad Titan Flux Magnum,32033.04,eletronicos,Carla Peixoto Azevedo Silva Araújo,Laguna,SC,29323.55,87970.65,3323.4,3.64,2024,12,4
74,45,54,11,1270038.85,2024-09-25,Motor de Popa Yamaha Evo Dash 155HP,121534.82,propulsao,Amanda Santos Figueiredo Rodrigues Siqueira,Santarém,PA,115959.5,1275554.5,-5515.65,-0.43,2024,9,2
75,38,91,10,1348860.0,2024-09-21,Motor Elétrico Tohatsu Zenith Oceanic 113HP,134886.02,propulsao,Mateus Antunes,Fortaleza do Tabocão,TO,138358.85,1383588.5,-34728.5,-2.57,2024,9,5
76,28,18,14,353413.3,2024-03-07,Rádio Simrad Axis,26572.45,eletronicos,Bianca Rodrigues,Antonina,PR,26325.5,368557.0,-15143.7,-4.28,2024,3,3
77,6,110,2,4741.45,2024-12-13,Corrente Bruce Current,2495.51,ancoragem,Antônia Coelho Pinheiro Peixoto Cavalcanti,Fortaleza do Tabocão,TO,2219.25,4438.5,302.95,6.39,2024,12,4
78,43,105,7,2167.0,2024-08-13,Cabo de Nylon Danforth Prime,309.54,ancoragem,Jéssica Farias Cunha,Itaqui (São Luís),MA,266.85,1867.95,299.05,13.8,2024,8,1
79,10,12,13,35440.0,2024-12-31,GPS AIS Drift Flux Vox,2726.18,eletronicos,Débora Paiva,Santarém,PA,2407.65,31299.45,4140.55,11.68,2024,12,1
80,46,13,6,46483.0,2024-03-06,Radar Simrad Boost,7747.1,eletronicos,Ana Silva Costa Farias Coelho,Macapá,AP,6782.5,40695.0,5788.0,12.45,2024,3,2
81,28,82,10,490523.0,2024-04-11,Motor Elétrico Volvo Nautic Vox 118HP,51634.04,propulsao,Bianca Rodrigues,Antonina,PR,48851.45,488514.5,2008.5,0.41,2024,4,3
82,33,32,9,106895.9,2024-07-11,Sonda AIS Impulse Oceanic Zenith,12502.46,eletronicos,Diego Costa Guedes Cunha,Rio Grande,RS,11444.95,103004.55,3891.35,3.64,2024,7,3
83,17,123,5,13190.75,2023-04-03,Cabo de Nylon Danforth Orca Aero,2777.07,ancoragem,Luís Paiva Costa Cardoso Coelho,Corumbá,MS,2294.95,11474.75,1716.0,13.01,2023,4,0
84,25,35,1,10455.7,2023-05-01,Radar Furuno Swift,11005.53,eletronicos,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,10534.25,10534.25,-78.55,-0.75,2023,5,0
85,18,80,7,904567.0,2024-09-05,Motor de Popa Volvo Maré 69HP,129223.84,propulsao,Adriana Guedes Borges Alves Rocha,Santarém,PA,120885.2,846196.4,58370.6,6.45,2024,9,3
86,15,145,8,34799.0,2023-06-02,Boia de Arqueamento Delta Nexus,4349.86,ancoragem,Carla Lopes Alves Pacheco Rocha,Fortaleza do Tabocão,TO,3590.45,28723.6,6075.4,17.46,2023,6,4
87,7,20,14,431668.0,2023-11-24,Radar AIS Marlin,30833.44,eletronicos,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,28445.2,398232.8,33435.2,7.75,2023,11,4
88,29,147,5,15150.0,2024-03-11,Corrente Danforth Force Leviathan Impulse,3030.08,ancoragem,Gabriela Moraes Macedo Nunes,Fortaleza,CE,2960.95,14804.75,345.25,2.28,2024,3,0
89,30,75,8,262147.0,2023-12-21,Motor Diesel Volvo Flow Leviathan Maré 187HP,32768.38,propulsao,Victor Araújo Azevedo Tavares Correia,Itacoatiara,AM,29623.0,236984.0,25163.0,9.6,2023,12,3
90,2,72,3,284044.3,2024-07-22,Motor de Popa Volvo Hydro Dash 256HP,99664.64,propulsao,Fernanda Azevedo Soares Nunes Vieira,Recife,PE,153377.4,460132.2,-176087.9,-61.99,2024,7,0
91,23,36,15,339021.0,2023-01-06,Radar Lowrance Aqua Pulse,22601.39,eletronicos,Bruna Mendonça Rodrigues,Santos,SP,22382.05,335730.75,3290.25,0.97,2023,1,4
92,40,2,7,93087.65,2023-04-19,Transponder Furuno Marlin,13998.15,eletronicos,Lucas Pacheco,Corumbá,MS,14148.7,99040.9,-5953.25,-6.4,2023,4,2
93,37,113,11,45927.75,2023-01-11,Âncora Delta Mako Ultra,4394.96,ancoragem,Jéssica Pimentel Borges Nunes Teixeira,Itaqui (São Luís),MA,3887.85,42766.35,3161.4,6.88,2023,1,2
94,36,90,8,632779.0,2023-08-02,Motor de Popa Yamaha Thrust Marlin Nexus 182HP,79097.33,propulsao,Francisca Ribeiro Pinheiro,Belém,PA,72856.45,582851.6,49927.4,7.89,2023,8,2
95,25,131,12,11563.0,2024-12-17,Boia de Arqueamento Danforth Core Vortex,963.59,ancoragem,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,878.1,10537.2,1025.8,8.87,2024,12,1
96,11,82,8,392418.4,2023-08-22,Motor Elétrico Volvo Nautic Vox 118HP,51634.04,propulsao,Victor Torres Monteiro,Porto Seguro,BA,48851.45,390811.6,1606.8,0.41,2023,8,1
97,25,48,2,29473.0,2024-09-18,GPS Furuno Magnum Drift,14736.35,eletronicos,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,13029.95,26059.9,3413.1,11.58,2024,9,2
98,21,142,2,1570.35,2024-02-13,Âncora Danforth Vector Evo,826.41,ancoragem,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,748.55,1497.1,73.25,4.66,2024,2,1
99,49,81,9,1099336.0,2024-01-06,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,122148.49,propulcao,Diego Costa Tavares Antunes,Aracaju,SE,118427.5,1065847.5,33488.5,3.05,2024,1,5
100,22,93,4,381812.6,2023-01-21,Motor Elétrico Yamaha Flow 204HP,100477.01,propulsao,Daniela Borges Vieira Farias Mendonça,Aracaju,SE,87224.15,348896.6,32916.0,8.62,2023,1,5
101,11,47,8,48984.0,2024-07-04,Rádio Simrad Tidal Aqua,6122.96,eletronicos,Victor Torres Monteiro,Porto Seguro,BA,5583.3,44666.4,4317.6,8.81,2024,7,3
102,9,67,9,733495.95,2024-02-02,Motor de Popa Yamaha Mako 108HP,85789.05,propulsao,Lucas Guedes Cunha Lopes,João Pessoa,PB,83603.65,752432.85,-18936.9,-2.58,2024,2,4
103,36,146,5,2356.0,2023-04-12,Corrente Delta Vox Ion,495.98,ancoragem,Francisca Ribeiro Pinheiro,Belém,PA,414.4,2072.0,284.0,12.05,2023,4,2
104,11,24,11,242776.3,2024-03-02,GPS AIS Orca Marlin Velocity,23232.18,eletronicos,Victor Torres Monteiro,Porto Seguro,BA,18760.75,206368.25,36408.05,15.0,2024,3,5
105,23,77,6,254816.6,2023-10-31,Motor Diesel Tohatsu Vector 197HP,44704.67,propulsao,Bruna Mendonça Rodrigues,Santos,SP,36100.5,216603.0,38213.6,15.0,2023,10,1
106,48,143,8,35491.0,2023-03-29,Âncora Delta Hydra Kraken Velocity,4436.43,ancoragem,Letícia Torres Peixoto Oliveira,Suape (Ipojuca),PE,3831.65,30653.2,4837.8,13.63,2023,3,2
107,38,98,8,634889.0,2024-08-10,Motor Diesel Parsun Velocity Abyss Orca 235HP,79361.13,propulsao,Mateus Antunes,Fortaleza do Tabocão,TO,64334.0,514672.0,120217.0,18.94,2024,8,5
108,4,139,6,8121.55,2023-01-19,Boia de Arqueamento Danforth Torque,1424.88,ancoragem,Thiago Moreira,Rio Branco,AC,1234.45,7406.7,714.85,8.8,2023,1,3
109,39,96,7,494346.0,2024-09-18,Motor de Popa Tohatsu Boost Swift 126HP,70620.84,propulsao,Renata Oliveira Siqueira,Suape (Ipojuca),PE,73882.0,517174.0,-22828.0,-4.62,2024,9,2
110,34,148,8,38284.0,2024-10-27,Âncora Delta Force Barracuda Mako,4785.56,ancoragem,Victor Vieira Nunes Cunha,Fortaleza,CE,4425.5,35404.0,2880.0,7.52,2024,10,6
111,28,32,10,125025.0,2023-03-06,Sonda AIS Impulse Oceanic Zenith,12502.46,eletronicos,Bianca Rodrigues,Antonina,PR,11444.95,114449.5,10575.5,8.46,2023,3,0
112,37,100,9,894331.9,2024-11-12,Motor Elétrico Honda Vector Abyss 220HP,104600.24,propulsao,Jéssica Pimentel Borges Nunes Teixeira,Itaqui (São Luís),MA,99036.4,891327.6,3004.3,0.34,2024,11,1
113,28,28,9,121910.65,2024-06-12,Piloto Automático AIS Core,14258.56,eletronicos,Bianca Rodrigues,Antonina,PR,13883.7,124953.3,-3042.65,-2.5,2024,6,2
114,12,75,5,163842.0,2023-05-03,Motor Diesel Volvo Flow Leviathan Maré 187HP,32768.38,propulsao,Rafael Pereira Barros,Fortaleza do Tabocão,TO,29623.0,148115.0,15727.0,9.6,2023,5,2
115,27,85,1,36650.05,2023-10-08,Motor de Popa Parsun Impulse 162HP,38578.7,propulsao,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,39426.35,39426.35,-2776.3,-7.58,2023,10,6
116,7,130,3,11810.4,2023-03-19,Boia de Arqueamento Delta Zen Boost Vortex,4144.09,ancoragem,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,3761.15,11283.45,526.95,4.46,2023,3,6
117,27,18,3,75731.15,2023-06-03,Rádio Simrad Axis,26572.45,eletronicos,Flávia Nunes Martins Ribeiro Coelho,Salvador,BA,26325.5,78976.5,-3245.35,-4.29,2023,6,5
118,18,122,10,13225.0,2023-07-22,Corrente Danforth Zenith Oceanic Torque,1322.47,ancoragem,Adriana Guedes Borges Alves Rocha,Santarém,PA,1113.15,11131.5,2093.5,15.83,2023,7,5
119,46,80,1,129224.0,2023-08-04,Motor de Popa Volvo Maré 69HP,129223.84,propulsao,Ana Silva Costa Farias Coelho,Macapá,AP,120885.2,120885.2,8338.8,6.45,2023,8,4
120,6,81,15,1832227.0,2023-06-17,Motor Elétrico Torqeedo Barracuda Magnum Helix 101HP,122148.49,propulcao,Antônia Coelho Pinheiro Peixoto Cavalcanti,Fortaleza do Tabocão,TO,118427.5,1776412.5,55814.5,3.05,2023,6,5
121,25,132,13,20319.0,2024-02-14,Corrente Bruce Nautic Evo,1562.97,ancoragem,Femininos Antunes Lopes Ribeiro Amaral,São Mateus,ES,1572.3,20439.9,-120.9,-0.6,2024,2,2
122,8,128,10,44181.65,2023-03-09,Boia de Arqueamento Bruce Marlin Hydra,4650.72,ancoragem,Luiz Alves Pimentel,Aracaju,SE,4265.45,42654.5,1527.15,3.46,2023,3,3
123,10,106,6,24993.55,2023-06-15,Âncora Danforth Nitro Titan Vox,4384.87,ancoragem,Débora Paiva,Santarém,PA,4591.85,27551.1,-2557.55,-10.23,2023,6,3
124,21,43,3,105291.0,2023-05-18,Sonda AIS Barracuda,35096.86,eletronicos,Sandra Rocha Oliveira Soares Peixoto,Rio Branco,AC,31096.6,93289.8,12001.2,11.4,2023,5,3
125,44,112,11,23990.0,2024-08-23,Corrente Danforth Tidal,2180.95,ancoragem,Rafael Paiva Vieira,Paranaguá,PR,2032.2,22354.2,1635.8,6.82,2024,8,4
126,29,80,5,613813.05,2024-07-14,Motor de Popa Volvo Maré 69HP,129223.84,propulsao,Gabriela Moraes Macedo Nunes,Fortaleza,CE,120885.2,604426.0,9387.05,1.53,2024,7,6
127,26,55,7,769910.0,2024-02-09,Motor Diesel Volvo Flow Oceanic 259HP,109987.2,propulsao,Luiz Borges Gomes Araújo,Manaus,AM,110693.4,774853.8,-4943.8,-0.64,2024,2,4
128,1,53,14,751450.0,2023-03-24,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,53675.01,propulsao,Femininos Oliveira Antunes,Aratu (Candeias),BA,47481.5,664741.0,86709.0,11.54,2023,3,4
129,3,82,11,567974.0,2024-02-26,Motor Elétrico Volvo Nautic Vox 118HP,51634.04,propulsao,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,48851.45,537365.95,30608.05,5.39,2024,2,0
130,15,123,2,5554.0,2024-12-18,Cabo de Nylon Danforth Orca Aero,2777.07,ancoragem,Carla Lopes Alves Pacheco Rocha,Fortaleza do Tabocão,TO,2294.95,4589.9,964.1,17.36,2024,12,2
132,3,5,12,284028.0,2024-10-15,Piloto Automático Furuno Storm,23669.01,eletronicos,Daniel Farias Ribeiro Teixeira,Rio Grande,RS,21636.85,259642.2,24385.8,8.59,2024,10,1
133,34,122,2,2512.75,2024-11-13,Corrente Danforth Zenith Oceanic Torque,1322.47,ancoragem,Victor Vieira Nunes Cunha,Fortaleza,CE,1113.15,2226.3,286.45,11.4,2024,11,2
134,7,18,7,176706.65,2023-01-11,Rádio Simrad Axis,26572.45,eletronicos,Bianca Barros Rocha Torres Siqueira,Cabedelo,PB,26325.5,184278.5,-7571.85,-4.28,2023,1,2
135,14,22,11,433981.0,2024-09-26,Transponder Furuno Force Ion,39452.86,eletronicos,Gabriela Silva Vieira Amaral,Itacoatiara,AM,38153.35,419686.85,14294.15,3.29,2024,9,3
136,16,70,10,343554.0,2023-03-02,Motor Diesel Parsun Boost Helix Velocity 146HP,34355.43,propulsao,Renata Pacheco Cardoso,Fortaleza,CE,27743.15,277431.5,66122.5,19.25,2023,3,3
